Marital_status,Previous_qualification,Displaced,Debtor,tuition_paid,Gender,has_scholarship,enrollment_age,course_sem1_enrolled,course_sem1_passed,course_sem1_grade,course_sem2_enrolled,course_sem2_passed,course_sem2_grade,Target,Cluster
1,0,1,0,1,1,0,20,0,0,0.0,0,0,0.0,0,0
1,0,1,0,0,1,0,19,6,6,14.0,6,6,13.666666666666666,1,1
1,0,1,0,0,1,0,19,6,0,0.0,6,0,0.0,0,0
1,0,1,0,1,0,0,20,6,6,13.428571428571429,6,5,12.4,1,1
2,0,0,0,1,0,0,45,6,5,12.333333333333334,6,6,13.0,1,2
1,0,1,0,1,0,1,18,7,7,13.3,8,8,14.345,1,1
1,0,1,0,0,1,0,22,5,0,0.0,5,0,0.0,0,0
1,0,0,0,1,0,1,21,6,6,13.875,6,6,14.142857142857142,1,1
1,0,1,1,0,0,0,18,6,5,11.4,6,2,13.5,0,1
1,0,1,0,1,0,0,18,6,6,12.333333333333334,6,5,14.2,1,1
1,0,1,0,1,0,1,18,8,7,13.214285714285714,8,7,13.214285714285714,1,1
1,0,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0,0
1,0,1,0,1,0,1,18,5,4,13.25,5,5,12.0,1,1
1,0,1,0,1,0,0,20,6,5,13.2,6,0,0.0,0,0
1,0,1,0,1,0,0,18,7,7,13.30625,8,8,14.545,1,1
1,0,1,0,1,0,0,20,5,4,12.5,5,4,12.25,1,1
1,0,0,0,1,0,1,21,0,0,0.0,0,0,0.0,1,0
1,0,1,0,1,0,0,18,8,7,12.857142857142858,8,7,12.857142857142858,1,1
1,0,1,0,1,0,1,19,6,6,13.375,6,6,12.285714285714286,1,1
1,0,0,0,1,0,0,19,7,6,13.296666666666669,8,7,14.114285714285714,1,1
1,0,1,0,1,0,0,21,6,6,11.375,6,6,13.285714285714286,1,1
1,0,1,0,1,0,0,20,5,5,12.0,5,5,12.333333333333334,1,1
1,0,1,0,1,0,0,19,6,6,12.666666666666666,6,6,14.375,1,1
1,0,0,0,1,1,0,34,5,5,12.4,5,5,13.428571428571429,1,2
1,0,0,1,0,1,0,37,7,0,0.0,7,1,10.0,0,2
1,1,1,0,1,1,0,43,5,0,0.0,5,0,0.0,0,2
1,3,0,1,0,0,0,20,6,3,11.666666666666666,6,3,12.0,0,1
1,0,0,1,1,0,0,18,6,4,12.75,5,0,0.0,0,0
1,0,1,0,1,0,0,22,5,5,14.8,5,5,15.8,1,1
1,0,0,0,0,0,0,20,6,4,13.0,6,5,13.8,0,1
1,0,0,0,1,0,0,29,5,0,0.0,5,0,0.0,0,0
1,0,1,0,1,0,0,18,6,6,11.666666666666666,6,5,13.2,1,1
1,3,0,0,1,0,1,21,6,6,11.5,6,6,13.285714285714286,1,1
1,0,0,0,1,0,1,19,6,5,12.333333333333334,6,6,12.833333333333334,1,1
1,0,0,0,1,0,1,24,6,6,13.666666666666666,6,6,14.166666666666666,1,1
1,0,0,0,1,0,0,19,5,5,14.714285714285714,5,5,15.8,1,1
1,0,0,0,1,0,0,27,5,5,10.6,5,5,11.0,0,1
1,0,1,0,1,0,0,18,7,7,13.044444444444444,8,8,13.595,1,1
2,0,0,0,1,0,0,39,6,0,0.0,6,0,0.0,0,0
1,0,1,0,1,0,0,18,8,8,14.935,8,8,14.935,1,1
1,0,0,0,1,0,0,18,7,6,13.133333333333333,8,7,12.221428571428572,1,1
1,3,0,0,1,0,1,21,6,6,12.0,6,6,12.0,1,1
1,0,1,0,1,1,1,19,0,0,0.0,0,0,0.0,1,0
1,3,1,0,1,1,0,23,6,6,12.571428571428571,6,6,12.428571428571429,1,1
1,0,0,0,1,1,0,24,7,7,11.975,8,8,13.75,1,1
1,0,1,0,1,1,0,19,0,0,0.0,0,0,0.0,0,0
1,0,1,0,1,1,0,18,6,3,11.666666666666666,6,1,12.0,0,1
1,0,1,0,1,1,0,18,6,6,12.333333333333334,6,3,12.333333333333334,1,1
1,0,1,1,1,1,0,18,5,3,10.333333333333334,5,3,10.857142857142858,0,1
1,0,1,0,1,1,1,21,6,4,10.5,6,1,11.0,0,1
1,0,1,1,1,1,1,19,6,6,13.666666666666666,6,6,13.333333333333334,1,1
1,0,0,0,1,1,1,22,7,7,14.842857142857142,8,8,15.055555555555555,1,1
2,0,0,0,1,1,0,33,6,6,12.0,6,6,11.666666666666666,1,2
1,0,1,0,1,1,0,35,1,0,0.0,5,0,0.0,0,0
2,0,1,0,1,0,0,33,6,6,11.0,6,5,11.0,1,2
1,0,1,0,1,0,1,22,8,7,13.08,8,7,13.08,1,1
1,0,0,0,1,0,1,25,5,4,10.5,5,5,11.6,1,1
1,0,1,0,1,1,0,20,6,6,10.666666666666666,6,5,11.2,1,1
1,0,0,0,1,1,0,24,7,0,0.0,7,0,0.0,0,0
1,0,1,0,0,0,0,21,6,6,14.0,6,6,13.5,1,1
1,0,0,0,1,0,0,26,6,2,12.0,6,0,0.0,0,0
2,1,0,0,1,0,0,39,6,3,12.666666666666666,6,0,0.0,0,2
2,0,0,0,1,0,0,44,8,8,11.875,6,6,12.333333333333334,1,2
1,0,1,0,1,0,0,18,6,6,13.666666666666666,6,6,13.333333333333334,1,1
1,0,1,0,1,0,1,18,7,7,13.75,8,8,14.47777777777778,1,1
1,0,1,1,0,0,0,19,7,4,11.96,7,0,0.0,0,0
1,0,1,0,1,0,0,20,0,0,0.0,0,0,0.0,1,0
2,0,1,0,1,0,0,36,6,0,0.0,6,0,0.0,0,0
1,0,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0,0
1,0,0,1,1,0,0,20,10,10,13.0,11,11,12.272727272727272,1,1
